method,accuracy,precision,recall,f1,roc_auc,train_time_sec,inference_ms_per_img
baseline_logistic,0.7957,0.25,0.4192,0.3132,0.7337,217.1877,0.0309
classical_ml_svm,0.8397,0.3577,0.5569,0.4356,0.835,31.0113,1.1272
alexnet,0.7538,0.7149,0.8445,0.7743,0.8544,0.0,0.7592
vgg16_bn,0.785,0.7415,0.8751,0.8028,0.8867,0.0,5.5342
resnet50,0.7803,0.72,0.9176,0.8068,0.8915,0.0,5.783
efficientnet_b3,0.7574,0.701,0.8975,0.7872,0.872,0.0,22.652
densenet121,0.8009,0.7589,0.8822,0.8159,0.9037,0.0,7.5667
swin_tiny,0.8351,0.8244,0.8516,0.8378,0.9198,0.0,7.6381
hybrid_fusion,0.8404,0.8262,0.8622,0.8438,0.9172,30.7721,0.0002
ensemble,0.8074,0.7589,0.9011,0.8239,0.916,0.0,8.3222
