reference,method,dataset,accuracy,f1
Al-Waisy et al. 2025 [1],Skin-DeepNet (HRNet+DBN+XGBoost fusion),ISIC 2019 / HAM10000,0.9965 / 1.000,0.9954 / —
Kaur et al. 2025 [2],N-DCNN with hair removal + ACNN segmentation,ISIC 2020,0.9340,0.9398
Naeem et al. 2024 [3],SNC_Net Inception V3 + handcrafted entropy fusion,ISIC 2019,0.9781,0.9810
Shahzaib et al. 2025 [25],EHR + Deep Residual U-Net + DenseNet169,ISIC 2019,0.9774,—
Albahli 2025 [37],YOLOv8 multi-dataset,ISIC2020+HAM10000+PH2,—,0.905
Bansal et al. 2022 [21],Handcrafted + EfficientNet-B0 + ANN,HAM10000,0.949,—
This work — baseline_logistic,logistic regression on raw pixels,"HAM10000+ISIC2019 (balanced, binary, lesion-grouped)",0.6084,0.5767
This work — classical_ml_svm,HOG + Color + GLCM + PCA + RBF-SVM,"HAM10000+ISIC2019 (balanced, binary, lesion-grouped)",0.6938,0.6956
This work — alexnet,single CNN (TL+focal+TTA),"HAM10000+ISIC2019 (balanced, binary, lesion-grouped)",0.7538,0.7743
This work — vgg16_bn,single CNN (TL+focal+TTA),"HAM10000+ISIC2019 (balanced, binary, lesion-grouped)",0.785,0.8028
This work — resnet50,single CNN (TL+focal+TTA),"HAM10000+ISIC2019 (balanced, binary, lesion-grouped)",0.7803,0.8068
This work — efficientnet_b3,single CNN (TL+focal+TTA),"HAM10000+ISIC2019 (balanced, binary, lesion-grouped)",0.7574,0.7872
This work — densenet121,single CNN (TL+focal+TTA),"HAM10000+ISIC2019 (balanced, binary, lesion-grouped)",0.8009,0.8159
This work — swin_tiny,single CNN (TL+focal+TTA),"HAM10000+ISIC2019 (balanced, binary, lesion-grouped)",0.8351,0.8378
This work — ensemble,soft-vote ensemble,"HAM10000+ISIC2019 (balanced, binary, lesion-grouped)",0.8074,0.8239
This work — hybrid_fusion,handcrafted + ABCD + deep + SMOTE-Tomek + MLP/XGBoost,"HAM10000+ISIC2019 (balanced, binary, lesion-grouped)",0.8404,0.8438
